Order_ID,Date,Product,City,Quantity,Unit_Price,Category,Revenue,Profit
ORD0001,2025-01-01 00:00:00.000000000,Tablet,Pune,4,29102,Electronics,116408,11897.72
ORD0002,2025-01-01 08:44:41.081081081,Keyboard,Kochi,3,51899,Accessories,155697,42220.0
ORD0003,2025-01-01 17:29:22.162162162,Mouse,Bengaluru,5,23972,Accessories,119860,27565.97
ORD0004,2025-01-02 02:14:03.243243243,Tablet,Bengaluru,1,49730,Electronics,49730,5213.94
ORD0005,2025-01-02 10:58:44.324324324,Headphones,Bengaluru,5,74116,Accessories,370580,98298.71
ORD0006,2025-01-02 19:43:25.405405405,Smartwatch,Delhi,1,7599,Wearables,7599,1012.88
ORD0007,2025-01-03 04:28:06.486486486,Mouse,Mumbai,2,25931,Accessories,51862,9605.73
ORD0008,2025-01-03 13:12:47.567567567,Mouse,Delhi,1,56992,Accessories,56992,6379.87
ORD0009,2025-01-03 21:57:28.648648648,Tablet,Mumbai,4,48184,Electronics,192736,45528.91
ORD0010,2025-01-04 06:42:09.729729729,Smartphone,Tirupati,3,30611,Electronics,91833,20819.27
ORD0011,2025-01-04 15:26:50.810810810,Headphones,Delhi,2,64436,Accessories,128872,16295.19
ORD0012,2025-01-05 00:11:31.891891891,Tablet,Delhi,1,23114,Electronics,23114,6239.58
ORD0013,2025-01-05 08:56:12.972972973,Headphones,Pune,5,42491,Accessories,212455,35753.48
ORD0014,2025-01-05 17:40:54.054054054,Headphones,Chennai,2,70976,Accessories,141952,20491.24
ORD0015,2025-01-06 02:25:35.135135135,Smartwatch,Delhi,2,61420,Wearables,122840,13943.88
ORD0016,2025-01-06 11:10:16.216216216,Mouse,Pune,1,64030,Accessories,64030,8871.8
ORD0017,2025-01-06 19:54:57.297297297,Keyboard,Hyderabad,2,36724,Accessories,73448,6231.76
ORD0018,2025-01-07 04:39:38.378378378,Smartwatch,Chennai,5,8288,Wearables,41440,8632.64
ORD0019,2025-01-07 13:24:19.459459459,Smartwatch,Tirupati,2,28582,Wearables,57164,15165.08
ORD0020,2025-01-07 22:09:00.540540540,Headphones,Delhi,5,77316,Accessories,386580,77615.87
ORD0021,2025-01-08 06:53:41.621621621,Monitor,Kochi,1,17031,Electronics,17031,2184.06
ORD0022,2025-01-08 15:38:22.702702702,Mouse,Bengaluru,3,45357,Accessories,136071,11893.59
ORD0023,2025-01-09 00:23:03.783783783,Smartphone,Hyderabad,2,10642,Electronics,21284,2707.71
ORD0024,2025-01-09 09:07:44.864864864,Smartwatch,Hyderabad,3,48855,Wearables,146565,25142.74
ORD0025,2025-01-09 17:52:25.945945946,Keyboard,Tirupati,5,10366,Accessories,51830,12807.95
ORD0026,2025-01-10 02:37:07.027027027,Monitor,Pune,2,70567,Electronics,141134,17123.14
ORD0027,2025-01-10 11:21:48.108108108,Monitor,Hyderabad,4,64527,Electronics,258108,61521.11
ORD0028,2025-01-10 20:06:29.189189189,Smartphone,Chennai,3,58406,Electronics,175218,47435.96
ORD0029,2025-01-11 04:51:10.270270270,Smartwatch,Delhi,2,28638,Wearables,57276,10302.14
ORD0030,2025-01-11 13:35:51.351351351,Keyboard,Delhi,3,30456,Accessories,91368,23821.01
